G.U.N.T. Gerдtebau GmbH
CE310.02



lambda0	0.00mS/cm
lambda_inf	0.00mS/cm
c0	0.00mol/l
k	0.00l/mol/s
T2_m	NaN°C
T3_m	0.00°C

Time	lambda1	lambda2
1.26	0.00	0.00
1.72	0.00	0.00
2.26	0.00	0.00
2.76	0.00	0.00
3.22	0.54	0.39
3.76	0.59	0.39
4.26	0.63	0.39
4.72	0.63	0.39
5.22	0.63	0.39
5.72	0.63	0.39
6.22	0.63	0.39
6.72	0.63	0.39
7.22	0.63	0.39
7.72	0.63	0.39
8.22	0.63	0.39
8.72	0.63	0.39
9.22	0.63	0.39
9.72	0.59	0.39
10.22	0.59	0.39
10.72	0.59	0.39
11.22	0.59	0.39
11.72	0.59	0.44
12.22	0.59	0.44
12.72	0.59	0.44
13.22	0.59	0.44
13.72	0.59	0.44
14.22	0.59	0.44
14.72	0.59	0.44
15.22	0.59	0.44
15.72	0.59	0.44
16.22	0.59	0.44
16.72	0.59	0.44
17.22	0.59	0.44
17.72	0.59	0.44
18.22	0.63	0.44
18.72	0.63	0.44
19.22	0.63	0.44
19.72	0.63	0.44
20.22	0.59	0.39
20.72	0.63	0.44
21.22	0.59	0.39
21.72	0.63	0.39
22.22	0.59	0.39
22.72	0.59	0.44
23.22	0.59	0.44
23.72	0.59	0.44
24.22	0.59	0.44
24.72	0.59	0.44
25.22	0.59	0.44
25.72	0.63	0.44
26.22	0.59	0.44
26.72	0.59	0.44
27.22	0.59	0.44
27.72	0.59	0.44
28.22	0.59	0.44
28.72	0.63	0.39
29.22	0.59	0.39
29.72	0.59	0.44
30.22	0.59	0.39
30.72	0.59	0.39
31.22	0.59	0.39
31.72	0.63	0.39
32.22	0.63	0.39
32.72	0.63	0.39
33.22	0.63	0.39
33.72	0.63	0.44
34.22	0.63	0.44
34.72	0.63	0.44
35.22	0.63	0.44
35.72	0.63	0.44
36.22	0.63	0.44
36.72	0.63	0.44
37.22	0.63	0.44
37.72	0.63	0.44
38.22	0.59	0.39
38.72	0.63	0.44
39.22	0.63	0.44
39.72	0.63	0.44
40.22	0.63	0.39
40.72	0.59	0.44
41.22	0.59	0.39
41.72	0.59	0.44
42.22	0.63	0.39
42.72	0.63	0.44
43.22	0.63	0.44
43.72	0.63	0.44
44.22	0.63	0.44
44.72	0.63	0.39
45.22	0.63	0.39
45.72	0.63	0.39
46.22	0.63	0.39
46.72	0.63	0.39
47.22	0.63	0.39
47.72	0.63	0.39
48.22	0.59	0.39
48.72	0.59	0.39
49.22	0.59	0.39
49.72	0.59	0.39
50.22	0.59	0.39
50.72	0.59	0.39
51.22	0.59	0.39
51.72	0.59	0.39
52.22	0.59	0.39
52.72	0.59	0.39
53.22	0.63	0.39
53.72	0.63	0.39
54.22	0.63	0.39
54.72	0.63	0.39
55.22	0.63	0.39
55.72	0.63	0.39
56.22	0.63	0.39
56.72	0.63	0.39
57.22	0.63	0.44
57.72	0.63	0.39
58.22	0.63	0.44
58.72	0.63	0.44
59.22	0.63	0.44
59.72	0.63	0.44
60.22	0.63	0.44
60.72	0.63	0.44
61.22	0.63	0.44
61.72	0.63	0.44
62.22	0.63	0.44
62.72	0.63	0.44
63.22	0.63	0.44
63.72	0.63	0.44
64.22	0.63	0.44
64.72	0.63	0.44
65.22	0.63	0.44
65.72	0.63	0.44
66.22	0.63	0.44
66.72	0.63	0.44
67.22	0.63	0.44
67.72	0.63	0.44
68.22	0.63	0.44
68.72	0.63	0.44
69.22	0.63	0.44
69.72	0.63	0.44
70.22	0.63	0.44
70.72	0.63	0.44
71.22	0.63	0.44
71.72	0.63	0.44
72.22	0.63	0.44
72.72	0.63	0.44
73.22	0.63	0.44
73.72	0.63	0.44
74.22	0.63	0.44
74.72	0.63	0.44
75.22	0.63	0.44
75.72	0.63	0.44
76.22	0.63	0.44
76.72	0.63	0.44
77.22	0.63	0.44
77.72	0.63	0.44
78.22	0.63	0.44
78.72	0.63	0.44
79.22	0.63	0.49
79.72	0.63	0.44
80.22	0.63	0.44
80.72	0.63	0.44
81.22	0.63	0.44
81.72	0.63	0.49
82.22	0.63	0.49
82.72	0.63	0.49
83.22	0.63	0.49
83.72	0.63	0.44
84.22	0.63	0.44
84.72	0.63	0.44
85.22	0.63	0.44
85.72	0.63	0.44
86.22	0.63	0.44
86.72	0.63	0.44
87.22	0.63	0.44
87.72	0.63	0.49
88.22	0.63	0.49
88.72	0.63	0.49
89.22	0.63	0.49
89.72	0.63	0.49
90.22	0.63	0.49
90.72	0.63	0.49
91.22	0.63	0.49
91.72	0.63	0.49
92.22	0.63	0.49
92.72	0.63	0.49
93.22	0.63	0.44
93.72	0.63	0.49
94.23	0.63	0.44
94.72	0.63	0.49
95.24	0.63	0.44
95.72	0.63	0.49
96.22	0.63	0.49
96.72	0.63	0.49
97.22	0.63	0.49
97.72	0.63	0.49
98.22	0.63	0.49
98.72	0.63	0.49
99.22	0.63	0.44
99.72	0.63	0.49
100.22	0.63	0.44
100.72	0.63	0.49
101.21	0.63	0.44
101.72	0.63	0.44
102.22	0.63	0.44
102.72	0.68	0.44
103.22	0.63	0.44
103.72	0.63	0.44
104.22	0.68	0.44
104.72	0.68	0.44
105.22	0.68	0.44
105.72	0.68	0.44
106.22	0.63	0.44
106.72	0.63	0.44
107.22	0.63	0.44
107.72	0.63	0.44
108.22	0.63	0.44
108.72	0.63	0.44
109.21	0.63	0.44
109.72	0.63	0.44
110.22	0.63	0.44
110.72	0.63	0.44
111.22	0.63	0.44
111.72	0.63	0.44
112.22	0.63	0.44
112.72	0.63	0.44
113.21	0.63	0.44
113.72	0.63	0.44
114.22	0.63	0.44
114.72	0.63	0.44
115.22	0.63	0.44
115.72	0.63	0.44
116.22	0.63	0.44
116.72	0.63	0.44
117.22	0.63	0.44
117.72	0.63	0.44
118.22	0.63	0.44
118.72	0.59	0.44
119.22	0.59	0.44
119.72	0.59	0.44
120.22	0.59	0.44
120.72	0.59	0.44
121.22	0.59	0.44
121.72	0.59	0.44
122.22	0.59	0.44
122.72	0.59	0.44
123.21	0.59	0.44
123.72	0.59	0.44
124.22	0.59	0.44
124.72	0.59	0.39
125.22	0.59	0.39
125.72	0.59	0.39
126.22	0.59	0.39
126.72	0.59	0.39
127.22	0.54	0.39
127.72	0.54	0.39
128.21	0.54	0.39
128.72	0.54	0.39
129.22	0.54	0.39
129.72	0.54	0.39
130.22	0.54	0.39
130.72	0.54	0.39
131.21	0.54	0.44
131.72	0.54	0.44
132.22	0.54	0.44
132.72	0.54	0.44
133.22	0.59	0.44
133.72	1.32	0.44
134.22	2.34	0.44
134.72	3.56	0.44
135.21	4.79	0.44
135.72	6.05	0.39
136.22	7.18	0.44
136.72	8.25	0.39
137.21	9.23	0.39
137.72	10.11	0.39
138.21	10.89	0.39
138.72	11.47	0.39
139.22	12.06	0.44
139.72	12.55	0.44
140.21	13.04	0.44
140.72	13.48	0.44
141.22	13.87	0.44
141.72	14.16	0.44
142.21	14.45	0.44
142.72	14.65	0.44
143.22	14.84	0.44
143.72	14.99	0.44
144.22	15.14	0.44
144.72	15.23	0.44
145.21	15.33	0.44
145.72	15.38	0.44
146.21	15.43	0.44
146.72	15.53	0.44
147.21	15.53	0.44
147.72	15.58	0.44
148.22	15.58	0.44
148.72	15.62	0.44
149.21	15.62	0.44
149.72	15.67	0.44
150.21	15.67	0.44
150.72	15.67	0.44
151.21	15.67	0.44
151.72	15.67	0.49
152.21	15.67	0.44
152.72	15.72	0.49
153.22	15.72	0.49
153.72	15.72	0.49
154.22	15.72	0.44
154.72	15.72	0.49
155.22	15.72	0.44
155.72	15.72	0.49
156.21	15.72	0.44
156.72	15.72	0.44
157.22	15.72	0.44
157.72	15.72	0.44
158.21	15.72	0.44
158.72	15.72	0.44
159.21	15.72	0.44
159.72	15.72	0.44
160.22	15.72	0.44
160.72	15.72	0.44
161.21	15.72	0.44
161.72	15.72	0.44
162.22	15.72	0.44
162.72	15.72	0.44
163.21	15.72	0.49
163.72	15.72	0.44
164.21	15.72	0.49
164.72	15.72	0.44
165.22	15.72	0.44
165.72	15.72	0.44
166.22	15.72	0.44
166.72	15.72	0.44
167.22	15.72	0.44
167.72	15.72	0.44
168.21	15.72	0.44
168.72	15.72	0.44
169.22	15.72	0.44
169.72	15.72	0.44
170.21	15.72	0.44
170.72	15.72	0.44
171.21	15.72	0.44
171.72	15.67	0.44
172.22	15.67	0.44
172.72	15.67	0.44
173.22	15.67	0.44
173.72	15.67	0.44
174.21	15.67	0.44
174.72	15.67	0.44
175.21	15.67	0.44
175.72	15.67	0.44
176.22	15.67	0.44
176.72	15.67	0.44
177.21	15.67	0.44
177.72	15.67	0.44
178.22	15.67	0.39
178.72	15.67	0.39
179.21	15.67	0.44
179.72	15.67	0.44
180.21	15.67	0.44
180.72	15.67	0.44
181.21	15.67	0.44
181.72	15.67	0.44
182.21	15.67	0.44
182.72	15.67	0.44
183.22	15.67	0.44
183.72	15.67	0.44
184.21	15.67	0.44
184.72	15.67	0.44
185.21	15.67	0.44
185.72	15.67	0.44
186.21	15.67	0.44
186.72	15.67	0.44
187.21	15.62	0.44
187.72	15.62	0.44
188.22	15.62	0.44
188.72	15.62	0.44
189.21	15.62	0.44
189.72	15.62	0.44
190.21	15.67	0.44
190.72	15.67	0.39
191.22	15.67	0.44
191.72	15.67	0.44
192.22	15.67	0.44
192.72	15.67	0.39
193.22	15.67	0.39
193.72	15.67	0.39
194.22	15.67	0.39
194.72	15.67	0.39
195.21	15.67	0.39
195.72	15.67	0.39
196.22	15.67	0.39
196.72	15.67	0.39
197.21	15.67	0.39
197.72	15.67	0.39
198.21	15.67	0.39
198.72	15.67	0.39
199.22	15.67	0.39
199.72	15.67	0.39
200.21	15.67	0.44
200.72	15.67	0.39
201.21	15.67	0.44
201.72	15.67	0.39
202.21	15.67	0.39
202.72	15.67	0.39
203.21	15.62	0.39
203.72	15.62	0.39
204.21	15.62	0.39
204.72	15.62	0.39
205.21	15.62	0.39
205.72	15.62	0.39
206.21	15.62	0.39
206.72	15.62	0.39
207.21	15.62	0.39
207.72	15.62	0.39
208.22	15.62	0.39
208.72	15.62	0.39
209.21	15.62	0.39
209.72	15.62	0.39
210.21	15.62	0.39
210.72	15.62	0.39
211.21	15.62	0.39
211.72	15.62	0.39
212.21	15.62	0.39
212.72	15.62	0.39
213.21	15.62	0.39
213.72	15.62	0.39
214.21	15.62	0.39
214.72	15.62	0.39
215.21	15.62	0.39
215.72	15.62	0.39
216.21	15.62	0.39
216.72	15.62	0.39
217.21	15.62	0.39
217.72	15.62	0.39
218.22	15.62	0.44
218.72	15.62	0.44
219.21	15.62	0.44
219.72	15.62	0.44
220.21	15.62	0.44
220.72	15.62	0.39
221.21	15.62	0.39
221.72	15.62	0.39
222.21	15.62	0.44
222.72	15.62	0.44
223.21	15.62	0.44
223.72	15.62	0.44
224.21	15.62	0.39
224.72	15.62	0.39
225.21	15.62	0.39
225.72	15.62	0.39
226.21	15.62	0.44
226.72	15.62	0.44
227.21	15.62	0.44
227.72	15.62	0.39
228.21	15.62	0.39
228.72	15.62	0.39
229.21	15.62	0.39
229.72	15.62	0.39
230.21	15.62	0.39
230.72	15.62	0.39
231.21	15.62	0.39
231.72	15.62	0.39
232.21	15.62	0.39
232.72	15.62	0.39
233.21	15.62	0.39
233.72	15.62	0.39
234.21	15.62	0.39
234.72	15.62	0.39
235.21	15.62	0.39
235.72	15.62	0.39
236.21	15.62	0.39
236.72	15.62	0.39
237.21	15.62	0.39
237.72	15.62	0.39
238.21	15.62	0.39
238.72	15.62	0.39
239.21	15.62	0.34
239.72	15.62	0.34
240.21	15.62	0.34
240.72	15.62	0.34
241.21	15.62	0.34
241.72	15.62	0.34
242.21	15.62	0.34
242.72	15.62	0.34
243.21	15.62	0.34
243.72	15.62	0.34
244.21	15.62	0.34
244.72	15.62	0.34
245.21	15.62	0.39
245.72	15.62	0.39
246.21	15.62	0.39
246.72	15.62	0.39
247.21	15.62	0.39
247.72	15.62	0.44
248.21	15.62	0.44
248.72	15.62	0.44
249.21	15.62	0.54
249.72	15.62	0.54
250.21	15.62	0.54
250.72	15.62	0.68
251.21	15.62	0.83
251.72	15.62	0.88
252.21	15.62	0.98
252.72	15.62	1.07
253.21	15.62	1.17
253.72	15.62	1.32
254.21	15.62	1.46
254.72	15.62	1.61
255.21	15.62	1.66
255.72	15.62	1.90
256.21	15.62	2.10
256.72	15.62	2.20
257.21	15.62	2.39
257.72	15.62	2.49
258.21	15.62	2.64
258.72	15.62	2.78
259.21	15.62	2.88
259.72	15.62	2.98
260.21	15.62	3.03
260.72	15.62	3.27
261.21	15.62	3.32
261.72	15.62	3.52
262.21	15.62	3.76
262.72	15.62	3.91
263.21	15.62	4.00
263.72	15.62	4.20
264.21	15.62	4.30
264.72	15.62	4.49
265.21	15.62	4.64
265.72	15.62	4.74
266.21	15.62	4.79
266.72	15.62	5.03
267.21	15.62	5.18
267.72	15.62	5.22
268.21	15.62	5.32
268.72	15.62	5.47
269.21	15.62	5.57
269.72	15.62	5.66
270.21	15.62	5.76
270.72	15.62	5.86
271.21	15.62	5.91
271.72	15.62	6.01
272.21	15.62	6.10
272.72	15.62	6.20
273.21	15.62	6.35
273.72	15.62	6.45
274.21	15.62	6.54
274.72	15.62	6.64
275.21	15.62	6.74
275.72	15.62	6.79
276.21	15.62	6.84
276.72	15.62	6.84
277.21	15.62	6.93
277.72	15.62	6.93
278.21	15.62	7.03
278.72	15.62	7.13
279.21	15.62	7.18
279.72	15.62	7.18
280.21	15.62	7.23
280.72	15.62	7.23
281.21	15.62	7.23
281.72	15.58	7.23
282.21	15.58	7.28
282.72	15.62	7.28
283.21	15.62	7.32
283.72	15.62	7.32
284.21	15.62	7.32
284.72	15.62	7.37
285.22	15.62	7.37
285.72	15.62	7.37
286.21	15.62	7.42
286.72	15.62	7.42
287.21	15.62	7.42
287.72	15.62	7.42
288.22	15.62	7.42
288.72	15.62	7.42
289.22	15.62	7.42
289.72	15.62	7.42
290.21	15.62	7.42
290.72	15.62	7.42
291.22	15.62	7.42
291.72	15.62	7.42
292.21	15.62	7.42
292.72	15.62	7.47
293.21	15.62	7.47
293.72	15.62	7.47
294.22	15.62	7.47
294.72	15.62	7.47
295.21	15.62	7.47
295.72	15.62	7.47
296.21	15.62	7.47
296.72	15.62	7.47
297.22	15.62	7.47
297.72	15.62	7.47
298.21	15.62	7.47
298.72	15.62	7.47
299.21	15.62	7.47
299.72	15.62	7.47
300.21	15.62	7.47
300.72	15.62	7.47
301.21	15.62	7.47
301.72	15.62	7.47
302.22	15.62	7.47
302.72	15.62	7.47
303.21	15.62	7.42
303.72	15.62	7.42
304.21	15.62	7.42
304.72	15.62	7.42
305.21	15.62	7.42
305.72	15.62	7.42
306.21	15.62	7.42
306.72	15.62	7.42
307.21	15.62	7.47
307.72	15.62	7.47
308.21	15.62	7.52
308.72	15.62	7.57
309.21	15.62	7.57
309.72	15.62	7.57
310.21	15.62	7.57
310.72	15.62	7.57
311.22	15.62	7.62
311.72	15.62	7.62
312.21	15.62	7.62
312.72	15.62	7.62
313.21	15.62	7.62
313.72	15.62	7.67
314.21	15.62	7.67
314.72	15.62	7.67
315.21	15.62	7.67
315.72	15.62	7.67
316.21	15.62	7.67
316.72	15.62	7.71
317.21	15.62	7.71
317.72	15.62	7.71
318.21	15.62	7.71
318.72	15.62	7.71
319.21	15.62	7.71
319.72	15.62	7.71
320.21	15.62	7.71
320.72	15.62	7.71
321.21	15.62	7.71
321.72	15.62	7.71
322.21	15.62	7.71
322.72	15.62	7.76
323.21	15.62	7.76
323.72	15.62	7.76
324.21	15.62	7.76
324.72	15.62	7.76
325.21	15.62	7.76
325.72	15.58	7.76
326.22	15.58	7.76
326.72	15.58	7.76
327.23	15.58	7.76
327.72	15.58	7.76
328.24	15.62	7.76
328.72	15.62	7.76
329.22	15.62	7.76
329.72	15.62	7.76
330.21	15.58	7.76
330.72	15.62	7.76
331.21	15.62	7.81
331.72	15.62	7.81
332.21	15.62	7.81
332.72	15.62	7.81
333.21	15.62	7.81
333.72	15.62	7.81
334.21	15.62	7.81
334.72	15.62	7.81
335.21	15.62	7.81
335.72	15.62	7.81
336.21	15.62	7.81
336.72	15.62	7.81
337.21	15.62	7.81
337.72	15.62	7.81
338.21	15.62	7.81
338.72	15.62	7.81
339.22	15.62	7.81
339.72	15.62	7.81
340.21	15.62	7.81
340.72	15.62	7.81
341.21	15.62	7.81
341.72	15.62	7.81
342.22	15.62	7.81
342.72	15.62	7.81
343.21	15.62	7.81
343.72	15.62	7.81
344.22	15.62	7.81
344.72	15.62	7.81
345.21	15.62	7.81
345.72	15.62	7.81
346.21	15.62	7.81
346.72	15.62	7.81
347.21	15.62	7.81
347.72	15.62	7.81
348.21	15.62	7.81
348.72	15.62	7.81
349.22	15.62	7.81
349.72	15.62	7.81
350.22	15.62	7.81
350.72	15.62	7.81
351.22	15.62	7.81
351.72	15.62	7.81
352.22	15.62	7.81
352.72	15.62	7.81
353.22	15.62	7.81
353.72	15.62	7.81
354.21	15.62	7.86
354.72	15.62	7.86
355.22	15.62	7.86
355.72	15.62	7.86
356.21	15.62	7.86
356.72	15.62	7.86
357.21	15.62	7.86
357.72	15.62	7.86
358.22	15.62	7.86
358.72	15.62	7.86
359.22	15.62	7.86
359.72	15.62	7.86
360.22	15.62	7.86
360.72	15.62	7.86
361.22	15.62	7.86
361.72	15.62	7.86
362.22	15.62	7.86
362.72	15.62	7.86
363.22	15.62	7.86
363.72	15.62	7.86
364.22	15.62	7.86
364.72	15.62	7.86
365.22	15.62	7.81
365.72	15.62	7.86
366.22	15.62	7.86
366.72	15.62	7.86
367.22	15.62	7.86
367.72	15.62	7.86
368.22	15.62	7.86
368.72	15.62	7.86
369.22	15.62	7.86
369.72	15.62	7.86
370.22	15.62	7.86
370.72	15.62	7.86
371.22	15.62	7.86
371.72	15.62	7.86
372.22	15.62	7.86
372.72	15.62	7.86
373.22	15.62	7.86
373.72	15.62	7.81
374.22	15.62	7.81
374.72	15.62	7.86
375.22	15.62	7.86
375.72	15.58	7.86
376.22	15.58	7.86
376.72	15.58	7.86
377.22	15.62	7.86
377.72	15.62	7.86
378.22	15.62	7.86
378.72	15.62	7.86
379.22	15.62	7.86
379.72	15.62	7.86
380.22	15.62	7.86
380.72	15.62	7.86
381.22	15.62	7.86
381.72	15.62	7.86
382.22	15.62	7.86
382.72	15.62	7.86
383.21	15.62	7.86
383.72	15.62	7.86
384.22	15.62	7.86
384.72	15.62	7.86
385.22	15.62	7.86
385.72	15.62	7.86
386.22	15.62	7.86
386.72	15.62	7.86
387.22	15.62	7.86
387.72	15.62	7.86
388.22	15.62	7.86
388.72	15.62	7.86
389.22	15.62	7.86
389.72	15.62	7.86
390.22	15.62	7.86
390.72	15.62	7.86
391.22	15.62	7.86
391.72	15.62	7.86
392.22	15.62	7.86
392.72	15.62	7.86
393.22	15.62	7.86
393.72	15.62	7.86
394.22	15.62	7.86
394.72	15.62	7.91
395.22	15.62	7.91
395.72	15.62	7.91
396.22	15.62	7.91
396.72	15.62	7.86
397.22	15.62	7.86
397.72	15.62	7.86
398.22	15.62	7.86
398.72	15.62	7.86
399.22	15.62	7.86
399.72	15.62	7.86
400.22	15.62	7.86
400.72	15.62	7.86
401.22	15.62	7.86
401.72	15.62	7.86
402.22	15.62	7.86
402.72	15.62	7.86
403.22	15.62	7.86
403.72	15.62	7.86
404.22	15.62	7.86
404.72	15.62	7.86
405.22	15.62	7.86
405.72	15.62	7.86
406.22	15.62	7.86
406.72	15.62	7.86
407.22	15.62	7.86
407.72	15.62	7.86
408.22	15.62	7.86
408.72	15.62	7.86
409.22	15.62	7.86
409.72	15.62	7.86
410.22	15.62	7.86
410.72	15.62	7.86
411.22	15.62	7.86
411.72	15.62	7.86
412.22	15.62	7.86
412.72	15.62	7.86
413.22	15.62	7.86
413.72	15.62	7.86
414.22	15.62	7.86
414.72	15.62	7.86
415.22	15.62	7.86
415.72	15.62	7.86
416.22	15.62	7.86
416.72	15.62	7.86
417.22	15.62	7.86
417.72	15.62	7.86
418.22	15.62	7.86
418.72	15.62	7.86
419.22	15.62	7.86
419.72	15.62	7.86
420.22	15.62	7.86
420.72	15.62	7.86
421.22	15.62	7.86
421.73	15.62	7.86
422.23	15.62	7.86
422.74	15.62	7.86
423.22	15.62	7.86
423.72	15.62	7.86
424.22	15.62	7.86
424.72	15.62	7.86
425.22	15.62	7.86
425.72	15.62	7.86
426.22	15.62	7.86
426.72	15.62	7.86
427.23	15.62	7.86
427.72	15.62	7.86
428.22	15.62	7.86
428.72	15.62	7.86
429.22	15.62	7.86
429.72	15.62	7.86
430.22	15.62	7.86
430.72	15.62	7.86
431.22	15.62	7.86
431.72	15.62	7.86
432.22	15.62	7.86
432.72	15.62	7.86
433.22	15.62	7.86
433.72	15.62	7.86
434.22	15.62	7.86
434.72	15.62	7.86
435.22	15.62	7.86
435.72	15.62	7.86
436.22	15.62	7.86
436.72	15.62	7.86
437.22	15.62	7.86
437.72	15.62	7.86
438.22	15.62	7.86
438.72	15.62	7.86
439.22	15.58	7.86
439.72	15.58	7.86
440.22	15.58	7.86
440.72	15.58	7.86
441.22	15.58	7.86
441.72	15.62	7.86
442.24	15.58	7.86
442.74	15.58	7.86
443.22	15.58	7.86
443.74	15.58	7.86
444.22	15.62	7.86
444.72	15.62	7.86
445.22	15.62	7.86
445.72	15.62	7.86
446.22	15.62	7.86
446.72	15.62	7.86
447.22	15.62	7.86
447.72	15.62	7.86
448.22	15.62	7.86
448.72	15.62	7.86
449.22	15.62	7.86
449.72	15.58	7.86
450.22	15.58	7.86
450.72	15.58	7.86
451.22	15.62	7.86
451.72	15.62	7.86
452.22	15.58	7.86
452.72	15.58	7.86
453.22	15.58	7.86
453.72	15.58	7.86
454.22	15.62	7.86
454.72	15.62	7.86
455.22	15.62	7.86
455.72	15.62	7.86
456.22	15.62	7.86
456.72	15.58	7.86
457.22	15.58	7.86
457.72	15.58	7.86
458.22	15.58	7.86
458.72	15.58	7.86
459.22	15.58	7.86
459.72	15.58	7.86
460.22	15.58	7.86
460.72	15.53	7.86
461.22	15.38	7.86
461.72	15.33	7.86
462.22	15.33	7.91
462.72	15.28	7.91
463.22	15.23	7.86
463.72	15.19	7.86
464.22	15.14	7.86
464.72	15.14	7.86
465.22	14.99	7.86
465.72	14.94	7.86
466.22	14.89	7.91
466.72	14.84	7.91
467.22	14.79	7.91
467.72	14.75	7.91
468.22	14.65	7.91
468.72	14.65	7.91
469.22	14.45	7.91
469.72	14.45	7.91
470.22	14.40	7.91
470.72	14.36	7.91
471.22	14.26	7.91
471.72	14.16	7.86
472.22	14.11	7.86
472.72	14.06	7.86
473.22	14.01	7.86
473.72	13.92	7.86
474.22	13.82	7.86
474.72	13.72	7.86
475.22	13.62	7.86
475.72	13.57	7.86
476.23	13.48	7.86
476.72	13.38	7.86
477.22	13.23	7.86
477.72	13.18	7.86
478.22	13.04	7.86
478.72	12.99	7.86
479.22	12.84	7.86
479.72	12.79	7.91
480.22	12.70	7.86
480.72	12.60	7.91
481.22	12.50	7.86
481.72	12.50	7.86
482.22	12.30	7.86
482.72	12.16	7.91
483.22	12.11	7.91
483.72	12.01	7.91
484.22	11.87	7.86
484.72	11.72	7.86
485.22	11.62	7.86
485.72	11.52	7.91
486.22	11.43	7.91
486.72	11.28	7.91
487.22	11.18	7.91
487.72	11.04	7.91
488.22	10.99	7.91
488.72	10.89	7.91
489.22	10.64	7.91
489.72	10.55	7.91
490.22	10.25	7.91
490.72	10.21	7.91
491.22	9.96	7.91
491.72	9.81	7.91
492.22	9.72	7.91
492.72	9.67	7.91
493.22	9.47	7.91
493.72	9.42	7.91
494.22	9.18	7.91
494.72	9.03	7.91
495.22	8.89	7.91
495.72	8.79	7.91
496.22	8.59	7.91
496.72	8.50	7.91
497.22	8.40	7.91
497.72	8.20	7.91
498.22	8.15	7.91
498.72	8.01	7.91
499.22	7.91	7.91
499.72	7.81	7.91
500.22	7.57	7.91
500.72	7.57	7.91
501.22	7.42	7.91
501.72	7.37	7.91
502.22	7.23	7.91
502.72	7.08	7.91
503.61	6.98	7.91
503.72	6.84	7.86
504.22	6.74	7.86
504.72	6.59	7.86
505.22	6.49	7.86
505.72	6.30	7.86
506.22	6.30	7.86
506.72	6.25	7.86
507.22	6.10	7.86
507.72	6.01	7.86
508.22	5.81	7.86
508.72	5.71	7.91
537.64	5.66	7.91
537.83	5.52	7.91
537.94	5.42	7.91
538.22	5.27	7.91
538.72	5.18	7.91
539.22	5.08	7.91
539.72	0.44	7.91
540.22	0.39	7.91
540.72	0.39	7.91
541.22	0.34	7.91
541.72	0.34	7.91
542.22	0.34	7.91
542.72	0.29	7.91
543.22	0.29	7.91
543.72	0.24	7.91
544.22	0.20	7.91
544.76	0.20	7.91
545.22	0.15	7.91
545.74	0.15	7.91
546.22	0.15	7.91
546.72	0.15	7.91
547.22	0.15	7.91
547.72	0.10	7.91
548.22	0.10	7.91
548.72	0.10	7.91
549.22	0.10	7.91
549.72	0.10	7.91
550.22	0.10	7.91
550.72	0.10	7.91
551.22	0.10	7.91
551.72	0.10	7.91
552.22	0.10	7.91
552.72	0.10	7.91
553.25	0.05	7.91
553.82	0.05	7.91
554.22	0.05	7.91
554.74	0.05	7.91
555.22	0.05	7.91
555.72	0.05	7.91
556.22	0.05	7.91
556.72	0.05	7.91
557.23	0.05	7.91
557.73	0.05	7.91
558.22	0.05	7.91
558.73	0.05	7.91
559.22	0.05	7.91
559.73	0.05	7.91
560.24	0.05	7.91
560.72	0.05	7.91
561.22	0.10	7.91
561.72	0.05	7.91
562.22	0.05	7.91
562.73	0.05	7.91
563.22	0.05	7.91
563.72	0.05	7.86
564.22	0.05	7.86
564.72	0.05	7.86
565.22	0.05	7.86
565.73	0.00	7.86
566.22	0.00	7.86
566.72	0.00	7.86
567.22	0.00	7.86
567.72	0.00	7.86
568.22	0.00	7.86
568.72	0.00	7.86
569.22	0.00	7.91
569.72	0.00	7.91
570.24	0.00	7.91
570.72	0.00	7.91
571.22	0.00	7.91
571.72	0.00	7.91
572.22	0.00	7.91
572.72	0.00	7.86
573.22	0.00	7.86
573.72	0.00	7.86
574.22	0.00	7.86
574.72	0.00	7.86
575.22	0.00	7.86
575.72	0.00	7.86
576.22	0.00	7.86
576.72	0.00	7.86
577.22	0.00	7.86
577.72	0.00	7.86
578.22	0.00	7.86
578.72	0.00	7.86
579.22	0.00	7.86
579.72	0.00	7.86
580.22	0.00	7.86
580.72	0.00	7.86
581.22	0.00	7.91
581.72	0.00	7.86
582.22	0.00	7.91
582.72	0.00	7.91
583.22	0.00	7.91
583.72	0.00	7.91
584.22	0.00	7.91
584.72	0.05	7.91
585.22	0.00	7.91
585.72	0.05	7.91
586.22	0.00	7.91
586.72	0.05	7.91
587.22	0.05	7.91
587.72	0.05	7.91
588.22	0.00	7.91
588.71	0.00	7.91
589.22	0.00	7.91
589.72	0.05	7.91
590.22	0.00	7.91
590.72	0.05	7.91
591.22	0.00	7.91
591.72	0.05	7.86
592.22	0.00	7.86
592.72	0.05	7.86
593.22	0.00	7.86
593.72	0.05	7.86
594.22	0.05	7.86
594.72	0.05	7.86
595.22	0.05	7.86
595.72	0.05	7.86
596.22	0.05	7.86
596.72	0.05	7.86
597.22	0.05	7.86
597.72	0.05	7.86
598.22	0.05	7.86
598.72	0.10	7.86
599.22	0.05	7.86
599.72	0.10	7.86
600.22	0.05	7.86
600.72	0.10	7.86
601.22	0.10	7.86
601.72	0.05	7.86
602.22	0.05	7.86
602.72	0.10	7.86
603.22	0.10	7.86
603.72	0.10	7.86
604.23	0.10	7.86
604.72	0.10	7.86
605.22	0.10	7.86
605.72	0.10	7.86
606.22	0.10	7.86
606.72	0.10	7.86
